Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
157010;Abborrberg;65.4833;16.6;550;Nej
62570;Abild;56.9512;12.7909;145;Nej
188800;Abisko;68.3557;18.8206;388;Ja
188790;Abisko Aut;68.3555;18.8211;388;Nej
158990;Abraur;65.9857;18.9195;368.079;Ja
158820;Adak D;65.3816;18.6164;412.169;Ja
97280;Adelsö A;59.3579;17.5213;5.612;Ja
92480;Adolfsfors;59.8;12.2333;125;Nej
117330;Agö;61.55;17.4666;20;Nej
178740;Aktse;67.1498;18.3061;530;Nej
72560;Alingsås D;57.8939;12.5472;72.054;Ja
180790;Allavaara;67.2594;20.1205;480;Nej
75040;Allgunnen;57.0666;15.9681;115;Nej
99090;Almagrundet A;59.1547;19.1298;3;Nej
134590;Almdalen;63.9967;14.6701;615;Ja
98560;Almunge;59.9334;18.0446;18.689;Nej
53640;Alnarp;55.65;13.0833;10;Nej
53390;Alnarp Fruktavdelning;55.6571;13.0923;10;Nej
93720;Alstrum;59.4833;13.6;70;Nej
178790;Aluokta;67.3094;18.9011;385;Nej
82000;Alvhem;58.0067;12.1454;5;Nej
73250;Ambjörnarp;57.4166;13.2833;220;Nej
156990;Ammarnäs D;65.9621;16.2184;420;Nej
103220;Andersviksberg;60.3694;13.8749;420;Nej
74730;Aneboda I;57.1166;14.5666;188;Nej
74510;Aneby;57.8232;14.8913;240;Nej
76410;Ankarsrum D;57.6784;16.193;96.501;Ja
144530;Ankarvattnet D;64.8779;14.2293;460;Ja
95230;Arboga;59.3833;15.8333;50;Nej
167710;Arjeplog A;66.0513;17.8396;430.839;Ja
158980;Arjeplog-Myrheden D;65.9785;18.2211;450.325;Ja
97390;Arlanda;59.66;17.9208;26;Nej
159880;Arvidsjaur A;65.5941;19.2642;382.45;Ja
92400;Arvika;59.6658;12.591;77;Nej
92410;Arvika A;59.6743;12.6354;65.758;Ja
75280;Arvingetorp;57.4496;15.0344;210;Nej
97630;Aske;59.6166;17.65;15;Nej
95100;Asker D;59.1593;15.4633;37.648;Ja
84660;Askersund;58.88;14.9;100;Nej
75480;Askeryd;57.8055;14.9925;250;Nej
72620;Askim D;57.6284;11.9618;88.33;Ja
87600;Aspa D;58.9277;17.1047;26.636;Ja
137220;Aspeå;63.3994;17.4911;255.8;Ja
94370;Asphyttan;59.6112;14.1859;130;Nej
78480;Austers D;57.81;18.63;29.205;Ja
145500;Avasjö-Borgafjäll D;64.834;15.0748;535.286;Ja
106070;Avesta;60.1413;16.1715;99.043;Ja
73270;Axelfors;57.45;13.1;150;Nej
105550;Backa;60.923;15.1145;230;Nej
117710;Backarna;61.5666;16.3;185;Nej
136490;Backe D;63.8137;16.4038;214.569;Ja
63550;Bakarebo D;56.9029;13.696;145;Ja
