 klimnr period   jan    feb    mar    apr    maj    jun    jul    aug    sep    okt    nov    dec   year
   5223  6190   36.4   24.6   32.3   34.8   37.7   43.9   51.6   50.0   46.0   46.3   45.7   41.1  490.6
   5235  6190   48.5   29.8   40.1   37.6   40.6   51.5   61.2   57.6   58.7   57.1   61.4   58.1  602.3
   5252  6190   44.6   25.9   39.2   37.7   43.2   52.7   67.3   58.7   60.5   52.0   59.6   52.6  594.0
   5255  6190   42.7   25.3   38.1   36.8   39.5   49.1   72.5   57.7   56.2   48.7   54.9   49.5  570.8
   5266  6190   40.5   24.3   34.7   33.8   36.3   46.4   63.8   52.3   55.0   49.3   54.7   49.7  540.7
   5319  6190   53.6   33.9   42.9   39.7   42.3   54.7   65.1   60.1   64.8   63.1   70.8   63.1  654.0
   5320  6190   47.3   31.4   38.0   37.1   42.2   55.2   59.2   57.7   62.2   60.0   61.9   53.0  602.4
   5323  6190   39.5   26.0   32.8   32.9   37.0   45.1   49.9   49.3   53.4   49.2   51.7   48.6  515.2
   5325  6190   52.7   32.8   41.1   37.1   38.9   48.4   58.8   60.2   58.5   58.6   68.0   62.1  617.2
   5326  6190   49.4   33.7   40.0   37.7   42.5   49.7   59.0   57.1   62.8   59.3   70.1   60.2  621.6
   5327  6190   54.8   34.5   39.0   37.6   39.6   47.9   61.3   56.5   61.3   61.4   75.1   64.4  633.5
   5328  6190   57.0   35.5   43.0   38.4   39.6   54.4   64.4   58.8   65.4   64.6   75.5   65.7  662.4
   5329  6190   48.8   28.3   41.8   39.9   40.3   55.0   60.8   59.0   62.7   59.6   61.3   57.3  604.7
   5330  6190   58.5   35.9   48.4   40.9   42.2   61.7   67.4   59.5   70.0   67.2   76.2   68.8  696.5
   5331  6190   58.4   32.5   44.8   45.2   46.4   57.6   63.1   66.4   72.9   67.3   74.5   63.8  693.0
   5332  6190   55.8   37.4   45.0   40.8   42.1   54.9   70.7   59.9   65.7   69.6   77.1   64.9  681.1
   5333  6190   65.3   41.3   50.0   45.4   46.8   60.3   71.8   66.2   72.0   70.2   80.3   72.3  741.9
   5334  6190   64.5   41.6   50.9   45.5   44.4   62.6   70.1   65.8   71.8   72.4   85.8   77.7  753.5
   5335  6190   52.5   31.6   41.5   39.8   39.3   52.1   65.7   57.9   61.7   60.2   67.0   61.5  630.8
   5336  6190   46.4   28.5   37.5   35.0   38.3   47.0   54.5   53.9   53.8   52.9   56.2   56.0  562.0
   5337  6190   41.8   25.7   34.8   34.8   39.1   49.5   54.0   55.1   51.1   51.2   51.7   49.7  538.6
   5338  6190   53.1   32.8   42.4   39.2   40.9   55.6   66.9   66.0   65.0   65.8   68.1   63.1  658.7
   5339  6190   44.1   26.5   37.0   37.0   39.7   50.3   60.5   56.4   59.0   56.4   59.7   52.2  578.3
   5340  6190   52.5   36.5   43.2   39.3   42.6   55.0   67.1   59.8   60.3   62.2   73.9   64.7  657.2
   5341  6190   53.6   32.0   44.8   41.4   44.8   59.7   76.2   62.5   66.1   64.6   72.0   64.0  674.3
   5342  6190   61.4   39.6   50.9   44.4   46.6   62.8   76.7   67.2   71.2   73.5   82.2   74.7  744.9
   5343  6190   54.4   33.1   45.0   40.3   44.5   55.5   69.7   64.6   64.2   60.4   68.9   65.3  665.8
   5347  6190   51.4   29.1   41.1   40.8   43.2   55.0   69.2   60.4   59.7   61.0   70.8   60.3  642.1
   5348  6190   54.4   33.3   44.5   41.0   42.6   54.7   67.3   59.8   62.1   61.4   71.4   62.3  654.8
   5350  6190   59.0   38.9   48.5   43.7   44.9   56.8   72.2   58.9   63.4   67.4   75.4   69.6  698.6
   5351  6190   56.4   34.6   47.3   42.3   43.8   58.1   74.6   63.2   67.8   65.5   74.5   66.6  694.6
   5352  6190   69.4   49.6   56.5   49.2   47.7   61.2   84.8   65.2   75.3   80.6   95.0   81.6  816.2
   5353  6190   57.3   36.3   46.7   42.1   43.4   56.3   72.6   60.3   65.8   65.4   72.8   66.5  685.4
   5354  6190   64.0   37.8   51.7   44.8   41.5   57.7   79.4   63.5   71.6   70.5   78.9   73.4  736.1
   5355  6190   63.6   45.4   49.8   46.9   47.5   58.4   78.1   60.4   69.1   71.2   84.2   70.9  745.5
   5356  6190   51.3   30.3   46.9   40.8   43.5   58.4   75.0   67.0   66.5   68.9   74.9   63.6  687.1
   5357  6190   67.0   43.0   53.5   49.0   51.5   64.7   84.9   69.3   76.9   75.0   83.2   74.8  792.8
   5363  6190   42.9   26.6   35.6   33.8   37.8   47.3   54.7   51.5   51.3   51.0   54.4   50.5  537.4
   5364  6190   42.9   25.5   34.8   33.9   37.0   46.8   55.1   53.0   52.7   50.3   53.2   49.8  535.1
   5365  6190   58.8   40.3   48.9   42.9   45.0   59.9   74.0   64.2   68.3   68.4   78.2   71.9  720.9
   5372  6190   50.5   30.8   41.1   38.8   42.0   52.4   62.9   59.8   62.4   59.9   65.1   59.9  625.6
   5423  6190   50.4   32.0   38.0   37.1   36.9   42.4   57.2   52.5   53.7   54.1   68.6   54.2  575.4
   5429  6190   44.9   29.9   35.4   33.2   34.6   42.4   54.9   49.1   53.0   53.4   61.4   52.6  544.7
   5430  6190   50.1   34.6   41.9   39.0   37.1   46.3   58.8   52.1   59.5   62.1   71.6   63.3  617.6
   5431  6190   61.6   43.2   47.6   42.8   40.3   46.8   60.6   58.1   62.5   68.7   84.4   71.8  689.8
   5433  6190   56.5   33.1   41.6   38.5   38.0   45.9   60.5   49.3   61.9   60.0   72.2   56.8  614.4
   5434  6190   51.6   34.4   40.5   38.1   39.3   48.6   62.7   56.3   60.6   61.7   71.4   60.9  626.1
   5438  6190   50.6   33.6   41.0   37.1   41.2   50.4   64.5   54.7   59.0   60.7   70.8   57.4  620.1
   5439  6190   65.6   47.1   55.4   49.4   47.4   62.7   72.8   61.8   66.3   74.2   89.4   74.3  766.1
   5440  6190   53.8   36.3   44.4   41.8   42.2   49.5   65.1   54.6   60.4   63.1   70.5   58.9  640.6
   5441  6190   61.5   40.6   49.3   45.6   48.7   60.4   78.0   67.2   72.6   71.9   81.1   70.9  747.9
   5442  6190   44.7   31.3   38.3   35.2   39.2   43.1   61.5   50.6   52.0   53.4   58.2   47.7  560.7
